City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
354,mareeba,-17.0,145.4333,302.28,72,61,3.38,AU,1674356636
355,hofn,64.2539,-15.2082,277.87,90,100,12.6,IS,1674356637
356,khatanga,71.9667,102.5,234.88,87,39,1.22,RU,1674356638
357,astana,51.1801,71.446,251.12,77,0,2.0,KZ,1674356604
358,salobrena,36.7428,-3.5872,285.08,70,53,1.64,ES,1674356639
359,barranca,-10.75,-77.7667,294.45,79,100,2.65,PE,1674356640
360,lukulu,-14.3707,23.242,291.23,98,100,2.8,ZM,1674356641
361,hohhot,40.8106,111.6522,262.72,65,76,0.98,CN,1674356641
362,sola,-13.8833,167.55,301.25,71,100,2.76,VU,1674356672
363,chapais,49.7834,-74.8492,258.03,95,100,3.06,CA,1674356673
364,dalmeny,52.3334,-106.7679,264.66,92,43,2.96,CA,1674356430
365,guerrero negro,27.9769,-114.0611,288.6,44,0,2.62,MX,1674356674
366,yaan,7.3833,8.5667,297.64,25,99,2.28,NG,1674356675
367,inhambane,-23.865,35.3833,299.74,68,85,4.35,MZ,1674356675
368,bambanglipuro,-7.95,110.2833,301.85,70,27,3.38,ID,1674356676
